Box Number,Type,Width,Height,x0,y0,x1,y1,StartS,EndS,Absolute Distance,Peak Value,Avg_Val,Ori Val,Breadth,Distance to U/S GW(m),Feature Type,Dimensions  Classification,Orientation o' clock,Length(mm),Width(mm),WT (mm),Depth % ,Depth(mm),ERF (ASME B31G),Psafe (ASME B31G) Barg
236,External,2.0,1.0,187068.13,54.5,187068.13,55.5,55,56,187068.13,0.0,0.0,,3.9871697695960058,1.452,Metal Loss,GENERAL,1900-01-02 07:17:40,178,30,7.1,22.53,1.6,0.672,44.627
243,External,2.0,1.0,189132.25,55.5,189132.25,56.5,56,57,189132.25,0.0,0.0,,9.613133893644608,3.504,Metal Loss,GENERAL,1900-01-02 01:17:40,104,91,7.1,22.53,1.6,0.654,45.852
