Abs. Distance (m),Distance to U/S GW(m),Pipe Number,Pipe Length(m),Feature Identification,Feature Type,Dimensions  Classification,Orientation o' clock,Length(mm),Width(mm),WT (mm),Depth % ,Depth(mm),Type,ERF (ASME B31G),Psafe (ASME B31G) Barg,Latitude,Longitude,Comment
187.073,1.452,45,6.681,Corrosion,Metal Loss,GENERAL,1900-01-02 07:17:40,178,30,7.1,22.53,1.6,External,0.672,44.627,19.0080143646633,72.9023537143367,
189.125,3.504,45,6.681,Corrosion,Metal Loss,GENERAL,1900-01-02 01:17:40,104,91,7.1,22.53,1.6,External,0.654,45.852,19.0080195138371,72.9023342089044,
