Abs. Distance (m),Distance to U/S GW(m),Pipe Number,Pipe Length(m),Feature Identification,Feature Type,Dimensions  Classification,Orientation o' clock,Length(mm),Width(mm),WT (mm),Depth % ,Depth(mm),Type,ERF (ASME B31G),Psafe (ASME B31G) Barg,Latitude,Longitude,Comment
22.285,2.482,16,3.84,Corrosion,Metal Loss,GENERAL,1900-01-02 04:01:40,49,35,7.1,28.16,2.0,External,0.632,47.477,19.0074348487184,72.9034980338676,
22.285,2.482,16,3.84,Corrosion,Metal Loss,GENERAL,1900-01-02 02:20:40,49,43,7.1,29.57,2.1,External,0.635,47.229,19.0074348487184,72.9034980338676,
