Serialno,ROLL,PITCH,YAW,ODDO1,ODDO1_SPEED,ODDO2,ODDO2_SPEED,VELOCITY,BATTERY_PERCENTAGE,BATTERY_VOLTAGE,TEMP1,TEMP2,filename,F1H1,F1H2,F1H3,F1H4,F1P1,F2H1,F2H2,F2H3,F2H4,F2P2,F3H1,F3H2,F3H3,F3H4,F3P3,F4H1,F4H2,F4H3,F4H4,F4P4,F5H1,F5H2,F5H3,F5H4,F5P1,F6H1,F6H2,F6H3,F6H4,F6P2,F7H1,F7H2,F7H3,F7H4,F7P3,F8H1,F8H2,F8H3,F8H4,F8P4,F9H1,F9H2,F9H3,F9H4,F9P1,F10H1,F10H2,F10H3,F10H4,F10P2,F11H1,F11H2,F11H3,F11H4,F11P3,F12H1,F12H2,F12H3,F12H4,F12P4,F13H1,F13H2,F13H3,F13H4,F13P1,F14H1,F14H2,F14H3,F14H4,F14P2,F15H1,F15H2,F15H3,F15H4,F15P3,F16H1,F16H2,F16H3,F16H4,F16P4,F17H1,F17H2,F17H3,F17H4,F17P1,F18H1,F18H2,F18H3,F18H4,F18P2,F19H1,F19H2,F19H3,F19H4,F19P3,F20H1,F20H2,F20H3,F20H4,F20P4,F21H1,F21H2,F21H3,F21H4,F21P1,F22H1,F22H2,F22H3,F22H4,F22P2,F23H1,F23H2,F23H3,F23H4,F23P3,F24H1,F24H2,F24H3,F24H4,F24P4,runid
5248,53.34,0.38,108.62,2996.73913,0.01,1,0.01,0.0,1710579466,0,0,0,12,36559.59426,35560.12822,34807.57762,34815.12792,4988075,36135.45766,36427.84622,37163.03829,37356.73468,5194742,36219.32722,35682.91297,36892.43049,37668.29585,5038344,35144.4222,36944.14919,37768.99016,37841.21549,5111743,33662.78652,32124.86084,33905.95492,35275.88554,5098023,33681.52512,34432.13757,30735.21502,32346.20375,5065530,33412.8908,33579.58061,33461.72274,34117.3278,4937106,31025.30808,30310.68463,27321.21598,28405.88188,4987598,26677.28343,28403.28113,28470.87996,32544.62932,5103908,33202.68337,31915.73998,35378.72652,34110.33982,5084718,34047.91755,35099.51072,36329.74063,36721.93925,4977091,35609.57178,33039.32012,31691.57102,34249.2957,5062821,27305.45437,28431.52491,478.4387578,31351.65552,5047876,28502.97345,11865.48217,27282.33895,25837.64184,5041284,31289.99338,34321.36105,35321.92418,36130.39099,0,32092.55947,32049.08037,32892.52341,33890.02263,4984159,28855.10125,28974.71908,29753.94281,31901.44787,5010443,41396.28538,39917.42334,39870.04829,39434.9959,4999848,38767.81381,38058.74464,40204.90959,39564.15045,0,38424.73124,38852.44664,39604.2364,40564.42094,5031516,39321.63682,39299.81049,37927.8543,38017.43516,5057404,40060.87311,40141.47632,40104.18441,41184.91859,5265403,38465.63491,38734.63006,36575.68787,37039.39607,5190734,40442.69084,40985.89528,40680.2952,38383.20033,5112921,0
5249,53.34,0.38,108.62,2997.826087,0.01,1,0.01,0.0,1710579466,0,0,0,12,37059.85783,36095.38789,35326.07395,35075.04547,5003028,35943.81801,36293.05271,36863.87768,37402.61607,5206762,36377.29501,35845.84316,36769.99314,37554.22521,5049053,35382.87934,37308.57919,37824.45432,38323.30657,5126273,33842.43261,32302.8685,34226.71303,35670.45928,5107439,31852.39926,33817.63514,29469.63259,31656.08312,5077299,33842.54887,34146.1376,33846.31393,34505.73985,4954495,31260.7646,30962.83352,27734.90015,29401.98848,4996190,26945.95805,28923.47447,28959.35651,33071.70435,5117315,33157.8525,32514.93076,36506.72823,34833.5441,5093924,35118.8424,35288.42484,36589.79457,36969.87594,4984637,36489.07903,34905.83793,34085.43259,35999.10868,5066731,30081.33066,31093.84407,734.8222603,33427.17723,5057292,29317.11826,12912.73799,28166.04711,27387.44016,5048950,33708.77715,36064.77313,37396.06784,38515.37388,0,34544.19226,34666.68273,35712.50903,36793.90841,5006190,32027.54249,31570.98239,32230.18228,33955.1344,5016451,40776.86184,40077.04533,39435.81283,39660.05964,5014570,39735.8324,39398.36829,40736.54357,39966.32119,0,38844.90018,39314.464,39800.61701,39550.14364,5039172,39169.38079,38836.22888,37815.28844,37861.98307,5066130,39569.38942,39852.38757,40111.2463,41077.4791,5262378,35483.47776,35753.12838,33511.32668,33878.26662,5204043,39332.14805,39601.09666,38858.91152,35675.21872,5123362,0
5250,53.34,0.38,108.62,2998.913043,0.01,1,0.01,0.0,1710579466,0,0,0,12,37191.19764,36306.48409,35597.39744,35181.91154,5011039,35476.94264,35976.92408,36291.56578,37299.22701,5216672,36366.3786,35953.90129,36485.13556,37105.17651,5060131,35560.82374,37459.14466,37501.23676,38674.56897,5138574,33522.32921,32072.98745,34129.4425,35820.5701,5121565,29598.3388,32725.567,27800.73922,30494.90051,5085681,34252.02144,34500.39866,34078.33882,34793.3487,4954630,31450.78769,31399.35104,27970.13824,30209.17473,5002451,26835.91958,29080.86278,29193.64045,33087.11039,5129085,32390.37227,32380.03157,36907.34242,34780.38622,5098784,35507.03534,34606.76172,35948.99692,36438.49151,4993961,36620.70203,36159.56885,35816.12558,36968.9805,5076509,32614.76905,33473.4572,1021.934225,35018.45122,5070044,29638.52544,13839.15833,28568.56375,28623.91863,5053662,35670.90743,37275.56306,38811.56653,40089.31419,0,36434.55939,36705.39099,37952.07685,39041.11098,5018090,34898.06998,33845.67998,34366.67493,35619.90589,5030457,39253.19787,39406.87676,38043.81973,39046.2164,5028808,39821.45709,40050.99362,40430.16196,39769.43302,0,38838.79231,39206.62225,39338.12774,37592.44707,5051052,38640.24077,37941.38581,37380.58197,37471.1832,5090537,38678.25731,39266.06804,39896.5096,40674.84454,5274285,32052.30673,32259.89034,30178.54269,30473.66907,5217771,37772.72232,37682.06742,36509.94261,32581.10707,5136146,0
5251,53.39,0.25,108.72,3000.0,0.01,1,0.01,0.08,1710579466,0,0,0,12,36961.95284,36209.81087,35582.63997,35124.33538,5020093,34673.09423,35431.51162,35438.70706,36953.97564,5227870,36098.3725,35941.79312,35994.59116,36311.1446,5068154,35641.43412,37353.58131,36829.1404,38779.98812,5148906,32746.06304,31468.62685,33658.39211,35691.51002,5144918,27045.549,31245.54831,25841.6293,28967.08253,5096488,34552.22434,34621.19313,34123.18255,34913.46619,4960302,31557.59327,31597.17458,28016.93064,30740.08217,5009863,26364.29433,28873.78456,29161.7788,32645.00972,5143741,31023.62832,31612.15124,36583.48703,34019.29581,5102986,35221.86715,33193.81787,34535.73644,35207.57656,5005734,36078.9898,36749.14285,36831.46398,37164.0213,5100838,34769.92742,35387.14019,1302.346673,36132.40711,5086252,29491.28577,14593.86953,28528.91867,29510.3665,5062730,37062.88975,37918.9068,39514.13067,40858.7298,0,37724.9405,38115.40852,39466.69192,40512.3757,5032929,37269.04448,35671.85361,36072.22444,36854.44737,5037990,36929.92041,37945.43926,35820.28103,37631.42155,5038935,39088.5074,39994.23551,39355.54646,38946.67248,0,38356.04036,38536.77371,38239.78633,34893.68394,5060374,37659.01564,36616.64102,36557.68409,36801.85068,5102883,37404.18153,38355.43327,39363.57525,39938.35127,5288777,28376.73407,28447.08134,26713.2082,26969.63876,5231478,35819.1017,35322.41778,33760.0696,29253.80695,5159412,0
5252,53.39,0.25,108.72,3001.161549,0.01,1,0.01,0.08,1710579466,0,0,0,12,36491.33756,35893.08068,35049.78839,34962.05842,5025162,33053.13726,34691.41579,34373.56599,35884.30169,5239052,35073.04943,35841.43151,35317.36385,35141.58405,5079653,35352.84729,36610.53938,36018.27323,38053.68289,5163578,31262.12937,30459.48219,32882.35195,34958.06369,5154977,24365.58534,29528.76577,23828.23958,27394.83278,5108156,34422.31879,34638.20282,34031.1001,34669.57603,4970372,31462.60527,31372.45592,27994.31322,30647.44694,5020213,25678.12706,27954.91052,28974.42067,31980.59999,5149092,29489.96408,30592.34674,35248.35622,32639.38996,5112249,34369.41248,31159.39903,32377.17372,32944.02026,5018211,35253.21892,36357.43257,36939.57775,36464.58947,5109949,36591.37166,35898.8136,1412.721605,37255.55293,5099303,28848.54441,14887.4532,28196.85515,30213.05799,5069332,37463.77553,38234.0435,39221.20898,40912.71167,0,38231.14329,38429.28576,39701.8975,40758.28735,5040814,38466.8942,37096.18606,37160.82868,37441.7482,5043760,33645.82082,35408.30057,32779.80479,34660.35386,5052711,37292.1166,38873.4284,37192.65482,37025.74696,0,37297.17094,37322.52758,35982.67779,32127.93822,5072373,35688.30678,34949.18487,34872.29863,35871.56795,5114861,35841.56781,37034.15261,37952.22392,38518.49666,5299245,25171.45084,24838.87058,23398.26968,23590.98916,5246046,33455.54297,32553.56995,30990.35325,25905.64798,5169915,0
5253,53.39,0.25,108.72,3002.323097,0.01,1,0.01,0.08,1710579466,0,0,0,12,35170.32912,35280.61333,33859.05281,34466.52048,5031634,31218.79998,33239.59956,33012.07446,34664.63148,5250605,33801.22923,35174.54751,34020.97842,33359.96026,5088751,35495.95767,35879.12618,34515.33492,36896.81448,5174270,29903.99996,29084.02957,31836.05006,33946.52149,5166294,21694.66712,27613.87977,21951.08932,25512.27641,5120128,34090.47115,34033.05862,33307.23052,33969.2393,4979485,31396.91108,31067.65095,27484.6587,30023.25197,5032458,24364.18469,27112.87888,28156.04658,30889.94764,5156062,27314.7025,28911.2233,32968.50575,30107.94128,5122903,32204.78889,28988.2049,29835.27095,30740.75775,5021983,33207.47602,35044.48469,35993.17939,34860.03471,5112607,37267.1877,36232.4067,1450.811479,37446.70251,5113784,27731.22499,15213.26698,27479.0286,29926.38516,5084004,36936.90956,36993.96802,37881.8941,39831.27993,0,38552.50886,38771.41502,38203.52295,39755.60184,5051534,38713.11697,37183.85917,37671.53568,37681.85738,5054243,29897.53769,31646.48113,28964.78718,31869.44324,5065175,35021.25217,36700.01194,35014.23236,34365.34934,0,35201.88537,34919.06526,33709.87539,28366.13166,5091065,32879.34403,32468.3661,32824.35763,34533.8529,5127908,33653.1209,35069.05921,36132.22785,37052.57164,5312255,21851.65811,21127.99929,20100.66255,20612.22868,5255385,30973.92268,29732.93149,27801.42394,22797.60239,5179156,0
5254,53.39,0.25,108.72,3003.484646,0.01,1,0.01,0.08,1710579466,0,0,0,12,34139.36645,34078.12832,32787.90658,33844.19216,5040345,28711.62538,31259.04029,30996.15825,32670.78495,5270921,31910.77162,34313.91398,32451.18693,31386.5538,5100019,35054.76074,34521.01411,33011.51733,35205.16211,5187676,27964.65221,27569.32966,30286.53984,32739.46805,5177702,19292.5138,25527.77902,19920.28169,23537.82972,5128530,33235.1873,33127.98318,32366.64625,33049.95285,4989476,30900.54602,30181.94609,26898.27931,28824.85113,5039879,22760.52153,25672.63083,27269.28551,29258.64455,5165480,24634.29427,26408.4461,30298.09218,27729.88371,5134152,29818.90317,25996.95948,26833.11952,27752.45781,5028692,31188.45339,32981.03678,34010.84267,32507.76606,5119271,36503.53303,35142.16746,1423.410863,36985.91921,5124081,26379.06238,14932.46109,26244.43089,29575.58694,5090286,35496.15611,35617.44866,35516.41048,37554.68256,0,37049.5784,37401.1429,36446.70128,37567.47213,5061309,37841.37255,36406.77342,37218.40971,37203.51337,5061309,25778.9063,28238.8072,25270.94223,28198.64804,5077764,32038.01911,34225.00422,31844.54064,31316.57014,0,32564.39725,32661.70622,30600.6434,24717.03802,5100735,29968.36177,29748.43266,30089.12535,32349.47566,5138839,31186.16028,33009.57029,33642.93456,34852.29479,5320380,18925.15587,17832.00591,17335.74066,17907.97993,5263994,27980.63541,26547.15489,24693.35862,20040.6557,5189921,0
5255,53.39,0.25,108.72,3004.646195,0.01,1,0.01,0.08,1710579466,0,0,0,12,32467.88849,32869.33787,31260.623,32831.82733,5044345,26054.294,29288.51811,28744.45812,30137.36661,5282893,29564.59789,32801.70381,30344.65908,28979.66332,5109435,34509.26376,33062.12265,31008.21235,33269.96743,5203351,25867.52868,25735.02772,28850.24124,31357.9722,5188489,17005.82945,23489.65268,17936.47551,21554.86646,5145279,32199.30527,31922.13758,31089.74277,31652.97462,4998646,30318.76979,29272.08344,25835.48727,27201.84805,5048699,20917.85342,24224.55914,25817.76643,27241.8835,5175536,21978.74209,24155.86309,27164.03499,24699.3512,5144651,26517.86212,23293.41117,23896.54117,24806.66524,5035167,28359.84337,30127.22459,31452.13593,29636.53106,5123461,35609.57778,33151.24701,1324.098944,35897.67181,5124180,24596.94527,14686.23283,24564.64212,28344.30226,5091423,33160.48351,32995.65377,32732.9898,34953.78744,0,35532.77632,36018.97349,33136.76555,34202.92082,5067798,35488.95145,34721.44465,35496.51503,36041.31528,5066731,21380.97733,24300.90502,21117.1378,24228.25061,5101299,28723.04003,31247.97992,28521.04933,27751.0691,0,29502.01245,29733.5699,27450.82525,21033.04644,5113067,26467.99439,26448.3556,26867.91219,29791.75025,5151622,28258.03254,30384.51843,30917.23819,32505.9376,5330396,16284.14411,14562.47959,14860.36735,15609.56781,5269140,25053.32639,23510.92794,21503.2342,17586.16267,5192835,0
5256,53.39,0.25,108.72,3005.807744,0.01,1,0.01,0.08,1710579466,0,0,0,12,30330.80023,31141.15422,29728.34961,31782.15361,5051052,23250.38141,26826.01309,26057.7813,27651.00999,5291375,27226.88362,31111.298,28132.5967,26284.63363,5125815,33269.27399,31116.97127,29116.81728,30863.92096,5226037,23697.1796,23991.6387,27055.97419,29488.56426,5196982,14985.60232,21433.39036,15826.96039,19602.29887,5151622,30667.03685,30522.18974,29662.55268,30090.87476,5010443,29263.11092,27903.80508,24785.93868,25592.30337,5057534,18779.95774,22337.45659,23916.7111,25081.57764,5185492,19351.38353,21496.52226,24133.74776,22060.38084,5162491,23458.92184,20325.5084,20823.61914,21548.12484,5051293,25706.91927,27185.27981,28183.9316,26222.29714,5127058,33379.2921,30550.2734,1151.854906,34045.306,5130427,22519.38048,13891.57947,22628.43605,26582.62708,5098068,30396.49267,30358.36163,29450.57687,31770.19459,0,32690.92707,33315.61085,30062.22342,30739.57508,5076865,33167.89169,31812.6964,33886.4408,34540.03507,5075796,17111.90282,20392.99721,17073.74765,20088.01022,5113684,24983.58372,27810.07116,24756.93582,24162.8037,0,26278.27308,26708.01108,23913.46439,17651.45648,5124081,23000.24911,22831.18288,23725.42764,26710.90925,5163216,25306.28521,27438.4593,27785.90162,29552.78695,5339381,14022.9794,11960.56963,12947.42137,13887.7172,5270989,22067.82009,20392.41535,18731.86336,15582.29979,5191911,0
5257,53.39,0.25,108.72,3006.969292,0.01,1,0.01,0.08,1710579466,0,0,0,12,28230.24017,29384.38465,27897.1724,30495.18368,5054130,20172.66317,24332.41304,23373.71333,24788.34856,5300733,24587.20437,28926.96987,25595.21972,23713.37788,5133792,31791.81587,29140.8179,26923.12943,28413.73947,5236403,21437.53985,22031.07756,25318.45184,27515.31668,5208955,12803.2514,19506.5432,14023.69288,17649.56406,5159412,28994.10512,28816.22293,27973.13029,28186.3836,5020102,28039.12959,26588.84677,23379.28968,23575.2008,5067908,16915.144,20163.84807,22353.08874,22896.7858,5211105,16903.61678,19261.13764,20943.18253,19281.60976,5173632,20096.13844,17667.27197,17938.26295,18466.47914,5060112,22723.15439,23873.4649,25034.67492,22872.61182,5137131,30292.21987,26991.87468,956.8724158,31513.24171,5142297,20286.59789,12759.70284,20545.15208,24707.87274,5100631,27177.43247,27010.35052,26125.5011,28237.92032,0,29732.66504,30689.76812,26169.1826,26806.5082,5080615,29832.43129,29168.34407,31324.37616,32690.45285,5082862,13137.1823,16394.691,13163.03782,15914.76307,5122382,21304.66465,24233.23814,20980.17297,20433.53141,0,22766.52936,23316.58452,20524.98345,14474.7505,5134609,19249.31781,19504.96789,20325.7812,23590.62144,5173269,22242.83595,24666.30874,24716.70226,26275.63745,5347943,12359.4183,9524.336667,11122.39321,11950.96749,5273276,19259.01786,17727.08137,15988.61262,13264.24352,5187955,0
